clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
"In accordance with this Agreement, the loan recipient shall repay the loan in equal monthly instalments over 60 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the Lender may revise the interest rate from 15% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, delivery timelines of 7 days are estimates only and may be extended without compensation.",Delivery,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"As per the terms of this Agreement, this Agreement may be renewed for a further term of 6 months upon mutual written consent at the same rent.",Renewal,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, cancellation after 30 days shall attract a fee of 5% of the order value.",Cancellation,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Subject to the terms herein, the Employer may terminate the staff member with 15 days notice or payment in lieu thereof.",Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the appointee shall be on probation for 3 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that the company's liability is limited and excludes indirect or consequential damages.,Liability Limitation,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"For the purposes of this Agreement, the appointee shall not work in any capacity in the same industry, anywhere in India, for 3 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, maintenance responsibilities shall be shared between the property owner and the Tenant as mutually agreed from time to time.",Maintenance,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the probation period of 11 months may be extended by the management based on performance review.",Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the Landlord reserves the right to increase the rent at any time without prior notice to the Lessee.",Rent Payment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the subscription shall auto-renew unless cancelled at least 30 days before the renewal date, with reminder notice sent.",Auto-Renewal,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Pursuant to this Agreement, delivery shall be completed within 45 days of order confirmation, with tracking provided.",Delivery,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"The landlord shall hold a security deposit of ₹5000, subject to deductions for unpaid dues or damages.",Security Deposit,Rental Agreement,Caution,"Indian Contract Act, 1872",India
"As per the terms of this Agreement, repayment terms of 24 months are subject to change by the financial institution with reasonable notice.",Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
The duration or conditions of probation may be extended upon documented justification. Clause 443.,Probation,Employment Agreement,Caution,"Industrial Relations Code, 2020",India
"In accordance with this Agreement, cancellation after 90 days shall attract a fee of 10% of the order value.",Cancellation,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Subject to the terms herein, the Bank may revise the interest rate from 9.5% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the Tenant shall bear all utility charges including any arrears left unpaid by previous occupants.",Utilities,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The tenant shall pay a refundable security deposit of ₹15000 before taking possession of the premises.,Security Deposit,Rental Agreement,Caution,"Indian Contract Act, 1872",India
The security deposit of Rs. 40000/- shall be forfeited entirely if the resident vacates before 60 months.,Security Deposit,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"For the purposes of this Agreement, this Agreement may be terminated by the Landlord on breach of any term, subject to a 7-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the non-compete restriction applies for 12 months and covers a broad, unspecified range of industries.",Non-Compete,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, the Landlord may impose any renewal terms unilaterally, including rent increases exceeding 20%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, late payment shall attract a compounding penalty of 8% per day with no grace period.",Late Payment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Pursuant to this Agreement, the security deposit of Rs. 40000/- paid by the Lessee shall be non-refundable under any circumstances.",Security Deposit,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the Employer may terminate the staff member with 7 days notice or payment in lieu thereof.",Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"It is hereby agreed that the non-compete restriction applies for 9 months and covers a broad, unspecified range of industries.",Non-Compete,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the property owner may impose any renewal terms unilaterally, including rent increases exceeding 50%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, electricity, water, and maintenance charges shall be borne by the Tenant as per actual meter readings.",Utilities,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Late payment beyond 60 days shall attract a charge of 1% per month on the overdue amount.,Late Payment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, repayment terms of 60 months are subject to change by the Lender with reasonable notice.",Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"It is hereby agreed that the Landlord may impose any renewal terms unilaterally, including rent increases exceeding 100%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, a full refund shall be issued within 90 days if the product/service is defective or not as described.",Refund Policy,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Pursuant to this Agreement, the security deposit of Rs. 75000/- shall be forfeited entirely if the resident vacates before 18 months.",Security Deposit,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Subject to the terms herein, confidentiality obligations of the staff member shall survive termination for a period of 3 months.",Confidentiality,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, the rent of Rs. 30000/- may be revised by the property owner after 60 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the Lender may hold the collateral for an additional 90 days after repayment for administrative verification.",Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"The Landlord may sublet, assign or transfer this Agreement without the Tenant's consent, including to parties unknown to the Tenant.",Assignment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Employee waives any claim arising from decisions concerning non-solicitation. Clause 342.,Non-Solicitation,Employment Agreement,Risky,"Indian Contract Act, 1872",India
"For the purposes of this Agreement, the management may require the Employee to work unlimited hours without additional compensation.",Working Hours,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, salary of Rs. 15000/- is subject to annual review and may be revised at the discretion of the Employer.",Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The security deposit of Rs. 50000/- paid by the occupant shall be non-refundable under any circumstances.,Security Deposit,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
